id,hanzi,pinyin,meaning_ko,pos,topic,example_zh,example_pinyin,example_ko
1,一般,yìbān,보통이다 · 일반적이다,형용사,평가,他的汉语水平一般。,Tā de Hànyǔ shuǐpíng yìbān.,그의 중국어 실력은 보통이다.
2,参加,cānjiā,참가하다,동사,활동,我想参加这个比赛。,Wǒ xiǎng cānjiā zhège bǐsài.,나는 이 시합에 참가하고 싶다.
3,检查,jiǎnchá,검사하다,동사,학교,请再检查一下作业。,Qǐng zài jiǎnchá yíxià zuòyè.,숙제를 다시 한번 검사해 주세요.
4,决定,juédìng,결정하다,동사,생활,我决定明天去上海。,Wǒ juédìng míngtiān qù Shànghǎi.,나는 내일 상하이에 가기로 결정했다.
5,打扫,dǎsǎo,청소하다,동사,집,我每天打扫房间。,Wǒ měi tiān dǎsǎo fángjiān.,나는 매일 방을 청소한다.
6,附近,fùjìn,근처,명사,장소,学校附近有一家咖啡店。,Xuéxiào fùjìn yǒu yì jiā kāfēidiàn.,학교 근처에 커피숍이 하나 있다.
7,环境,huánjìng,환경,명사,장소,这里的环境很安静。,Zhèlǐ de huánjìng hěn ānjìng.,이곳의 환경은 아주 조용하다.
8,健康,jiànkāng,건강하다,형용사,몸,多运动对健康很好。,Duō yùndòng duì jiànkāng hěn hǎo.,운동을 많이 하는 것은 건강에 아주 좋다.
9,简单,jiǎndān,간단하다,형용사,평가,这个问题很简单。,Zhège wèntí hěn jiǎndān.,이 문제는 아주 간단하다.
10,季节,jìjié,계절,명사,자연,我最喜欢的季节是秋天。,Wǒ zuì xǐhuan de jìjié shì qiūtiān.,내가 가장 좋아하는 계절은 가을이다.
11,经常,jīngcháng,자주,부사,시간,他经常去图书馆。,Tā jīngcháng qù túshūguǎn.,그는 자주 도서관에 간다.
12,帮忙,bāngmáng,돕다,동사,관계,你能帮我一个忙吗？,Nǐ néng bāng wǒ yí gè máng ma?,저를 좀 도와주실 수 있나요?
13,明白,míngbai,이해하다 · 알다,동사,생각,我明白你的意思。,Wǒ míngbai nǐ de yìsi.,나는 네 말뜻을 이해한다.
14,满意,mǎnyì,만족하다,형용사,감정,老板对结果很满意。,Lǎobǎn duì jiéguǒ hěn mǎnyì.,사장님은 결과에 아주 만족한다.
15,提高,tígāo,높이다 · 향상시키다,동사,학습,我想提高我的汉语水平。,Wǒ xiǎng tígāo wǒ de Hànyǔ shuǐpíng.,나는 내 중국어 실력을 높이고 싶다.
16,习惯,xíguàn,습관 · 익숙해지다,명사·동사,생활,早睡早起是好习惯。,Zǎo shuì zǎo qǐ shì hǎo xíguàn.,일찍 자고 일찍 일어나는 것은 좋은 습관이다.
17,影响,yǐngxiǎng,영향 · 영향을 주다,명사·동사,관계,天气影响了我的心情。,Tiānqì yǐngxiǎng le wǒ de xīnqíng.,날씨가 내 기분에 영향을 주었다.
18,终于,zhōngyú,마침내,부사,시간,我终于找到了工作。,Wǒ zhōngyú zhǎodào le gōngzuò.,나는 마침내 일자리를 찾았다.
19,特别,tèbié,특별히 · 아주,부사·형용사,평가,今天特别冷。,Jīntiān tèbié lěng.,오늘은 특별히 춥다.
20,认真,rènzhēn,성실하다 · 진지하다,형용사,태도,他学习很认真。,Tā xuéxí hěn rènzhēn.,그는 공부를 아주 열심히 한다.
