hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko,meaning_en,frequency
L3-0001,爱心,àixīn,명사,3,사랑하는 마음 · 온정,감정,他是一个很有爱心的人。,Tā shì yí ge hěn yǒu àixīn de rén.,그는 마음이 아주 따뜻한 사람이다.,compassion; kindness; care for others; love,5809
L3-0002,安排,ānpái,동사·명사,3,안배하다 · 계획하다,일,我来安排明天的会议。,Wǒ lái ānpái míngtiān de huìyì.,내가 내일 회의를 준비하겠다.,to arrange; to plan; to set up; arrangements,900
L3-0003,安装,ānzhuāng,동사,3,설치하다,사물,请帮我安装这个软件。,Qǐng bāng wǒ ānzhuāng zhège ruǎnjiàn.,이 소프트웨어를 설치해 주세요.,to install; to erect; to fix; to mount,3653
L3-0004,按,àn,동사·개사,3,누르다 · ~에 따라,동작,请按这个按钮。,Qǐng àn zhège ànniǔ.,이 버튼을 눌러 주세요.,to press; to push; to leave aside or shelve; to control,678
L3-0005,按照,ànzhào,개사,3,~에 따라 · ~대로,어법,按照计划进行。,Ànzhào jìhuà jìnxíng.,계획에 따라 진행한다.,according to; in accordance with; in the light of; on the basis of,1378
L3-0006,把,bǎ,개사,3,~을 (목적어를 동사 앞으로 보내는 말),어법,请把门关上。,Qǐng bǎ mén guānshàng.,문을 닫아 주세요.,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch",50
L3-0007,把,bǎ,양사,3,자루 (손잡이 있는 물건을 세는 말),어법,我买了一把伞。,Wǒ mǎi le yì bǎ sǎn.,나는 우산 한 자루를 샀다.,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch",50
L3-0008,把握,bǎwò,동사·명사,3,파악하다 · 자신,감정,我没有把握。,Wǒ méiyǒu bǎwò.,나는 자신이 없다.,to grasp (also fig.); to seize; to hold; assurance,3068
L3-0009,白,bái,부사,3,헛되이 · 공연히,평가,我白等了一个小时。,Wǒ bái děng le yí ge xiǎoshí.,나는 한 시간을 헛되이 기다렸다.,surname Bai,930
L3-0010,白菜,báicài,명사,3,배추,음식,我买了两棵白菜。,Wǒ mǎi le liǎng kē báicài.,나는 배추 두 포기를 샀다.,Chinese cabbage; pak choi,16930
L3-0011,班级,bānjí,명사,3,반 · 학급,학교,我们班级有三十个学生。,Wǒmen bānjí yǒu sānshí ge xuéshēng.,우리 반에는 학생이 서른 명 있다.,class (group of students); grade (in school),10486
