hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0458,领先,lǐngxiān,동사,3,앞서다 · 선두에 서다,평가,他在比赛中一直领先。,Tā zài bǐsài zhōng yìzhí lǐngxiān.,그는 경기에서 줄곧 앞서 있다.
L3-0972,作者,zuòzhě,명사,3,지은이 · 작가,사회,这本书的作者是谁？,Zhè běn shū de zuòzhě shì shéi?,이 책의 지은이는 누구입니까?
L3-0617,上升,shàngshēng,동사,3,오르다 · 상승하다,평가,气温开始上升了。,Qìwēn kāishǐ shàngshēng le.,기온이 오르기 시작했다.
L3-0635,声明,shēngmíng,동사·명사,3,성명하다 · 성명,사회,公司发表了一个声明。,Gōngsī fābiǎo le yí ge shēngmíng.,회사가 성명을 하나 발표했다.
L3-0753,围,wéi,동사,3,둘러싸다 · 에워싸다,동작,大家围着桌子坐下。,Dàjiā wéizhe zhuōzi zuòxià.,모두가 탁자를 둘러싸고 앉았다.
L3-0465,路线,lùxiàn,명사,3,노선 · 경로,장소,我们换一条路线吧。,Wǒmen huàn yì tiáo lùxiàn ba.,우리 다른 노선으로 바꾸자.
L3-0746,完整,wánzhěng,형용사,3,온전하다 · 완전하다,평가,这份资料不太完整。,Zhè fèn zīliào bú tài wánzhěng.,이 자료는 그다지 온전하지 않다.
L3-0696,谈判,tánpàn,동사·명사,3,협상하다 · 협상,일,双方正在谈判。,Shuāngfāng zhèngzài tánpàn.,양측이 협상하고 있다.
L3-0193,飞行,fēixíng,동사,3,비행하다,동작,飞机在高空飞行。,Fēijī zài gāokōng fēixíng.,비행기가 높은 하늘을 비행한다.
L3-0356,较,jiào,부사,3,비교적 · 좀 더,어법,今天的天气较冷。,Jīntiān de tiānqì jiào lěng.,오늘 날씨는 비교적 춥다.
L3-0325,纪念,jìniàn,동사·명사,3,기념하다 · 기념,활동,我们照张相做纪念吧。,Wǒmen zhào zhāng xiàng zuò jìniàn ba.,우리 기념으로 사진 한 장 찍자.
L3-0204,福,fú,명사,3,복 · 행복,생활,祝你新年幸福。,Zhù nǐ xīnnián xìngfú.,새해에 복 많이 받으세요.
L3-0216,赶到,gǎndào,동사,3,서둘러 도착하다,동작,他很快就赶到了医院。,Tā hěn kuài jiù gǎndào le yīyuàn.,그는 곧바로 병원에 도착했다.
L3-0248,公民,gōngmín,명사,3,국민 · 시민,사회,每个公民都有这个权利。,Měi ge gōngmín dōu yǒu zhège quánlì.,모든 국민이 이 권리를 가지고 있다.
